127.0.0.1 - - [23/Sep/2019:15:03:23 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:03:25 +0530] "GET /ParallelProjectByusing_SpringMVC/WEB-INF/classes/com/capgemini/busschedulingspringmvc/controller/AppController.java HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:03:52 +0530] "GET /springmvc/loginForm HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:03:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:04:32 +0530] "GET /ParallelProjectByusing_SpringMVC/app HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:04:38 +0530] "GET /ParallelProjectByusing_SpringMVC/login HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:07:51 +0530] "POST /ParallelProjectByusing_SpringMVC/login HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:07:57 +0530] "GET /ParallelProjectByusing_SpringMVC/login HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:08:07 +0530] "POST /ParallelProjectByusing_SpringMVC/login HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:09:27 +0530] "GET /ParallelProjectByusing_SpringMVC/login HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:09:36 +0530] "POST /ParallelProjectByusing_SpringMVC/login HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:09:42 +0530] "GET /ParallelProjectByusing_SpringMVC/login HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [23/Sep/2019:15:10:04 +0530] "POST /ParallelProjectByusing_SpringMVC/login HTTP/1.1" 200 582
